а/а;гЛ/МъА;аИТИОКОЦъА;йАТэСТГЛА;тОЙИСЛЭР АПЭ;аЯ. СУМАККАЦчР;пОСЭ;пЯЭСГЛО ПОСОЩ
329;17/12/2015;CаRRеFоUR лаRимояоUL;99;15/12/2015;201512170994868984;28,94;в
330;17/12/2015;амакгьг апо атл;995;17/12/2015;201512179956480023;100,00;в
331;14/12/2015;йаSSоиL ее;99;11/12/2015;201512140994899628;58,00;в
332;14/12/2015;амакгьг апо атл;995;12/12/2015;201512149952770076;180,00;в
333;14/12/2015;амакгьг апо атл;995;14/12/2015;201512149956480057;80,00;в
334;11/12/2015;амак. атл ехмийг;99;11/12/2015;201512110997710188;40,00;в
335;11/12/2015;енода амак.ехмийг;99;11/12/2015;201512110997710188;1,50;в
336;11/12/2015;емт.151211949215н414;99;11/12/2015;201512110999517197;1.250,92;п
337;09/12/2015;Cута64632800277701;99;9/12/2015;201512090999822653;17,70;в
338;09/12/2015;еуDа1500091672147134;99;9/12/2015;201512090999824161;12,00;в
339;07/12/2015;амак. атл ехмийг;99;5/12/2015;201512070997707406;80,00;в
340;07/12/2015;енода амак.ехмийг;99;5/12/2015;201512070997707406;1,50;в
341;07/12/2015;амакгьг апо атл;995;7/12/2015;201512079956480068;50,00;в
342;04/12/2015;яLауSтатиомметWоRй;99;2/12/2015;201512040994844032;9,99;в
343;02/12/2015;емоийио;96;2/12/2015;201512020960161240;330,00;в
344;30/11/2015;SгеLL;99;25/11/2015;201511300994827179;57,99;в
345;23/11/2015;CаRRеFоUR лаRимояоUL;99;20/11/2015;201511230994884969;32,51;в
346;23/11/2015;амак. атл еURобамй;99;21/11/2015;201511230997706409;20,00;в
347;23/11/2015;енода амак.еURобамй;99;21/11/2015;201511230997706409;1,50;в
348;23/11/2015;амакгьг апо атл;864;22/11/2015;201511238640210137;40,00;в
349;20/11/2015;CаRRеFоUR лаRимояоUL;99;18/11/2015;201511200994857554;12,49;в
350;20/11/2015;емт.151120949211н385;99;20/11/2015;201511200999517222;1.187,73;п
351;19/11/2015;амак. атл ехмийг;99;19/11/2015;201511190997707546;40,00;в
352;19/11/2015;енода амак.ехмийг;99;19/11/2015;201511190997707546;1,50;в
353;17/11/2015;амак. атл еURобамй;99;17/11/2015;201511170997708289;70,00;в
354;17/11/2015;енода амак.еURобамй;99;17/11/2015;201511170997708289;1,50;в
355;16/11/2015;амак. атл ехмийг;99;15/11/2015;201511160997710513;40,00;в
356;16/11/2015;енода амак.ехмийг;99;15/11/2015;201511160997710513;1,50;в
357;16/11/2015;амакгьг апо атл;995;16/11/2015;201511169952770161;40,00;в
358;13/11/2015;CоляUяRеSS ае;99;10/11/2015;201511130994813701;24,38;в
359;13/11/2015;амакгьг апо атл;995;13/11/2015;201511139952770064;50,00;в
360;11/11/2015;SгеLL;99;6/11/2015;201511110994834329;20,00;в
361;11/11/2015;SгеLL;99;7/11/2015;201511110994864170;55,55;в
362;09/11/2015;CаRRеFоUR лаRимояоUL;99;7/11/2015;201511090994920616;14,25;в
363;09/11/2015;амакгьг апо атл;166;8/11/2015;201511091660320487;50,00;в
364;04/11/2015;JUлбо м FиLаDеLFиа;99;31/10/2015;201511040994846305;19,43;в
365;02/11/2015;амакгьг апо атл;995;2/11/2015;201511029952770274;150,00;в
366;30/10/2015;емоийио;96;30/10/2015;201510300960197438;330,00;в
367;30/10/2015;емт.151030949011н500;99;29/10/2015;201510300999515068;98,40;п
368;30/10/2015;Cута64632800277701;99;30/10/2015;201510300999823640;17,50;в
369;30/10/2015;Dег713586879049;99;30/10/2015;201510300999823646;75,00;в
370;30/10/2015;енода емтокгс;99;30/10/2015;201510300999823646;0,10;в
371;30/10/2015;амакгьг апо атл;159;30/10/2015;201510301590220298;40,00;в
372;27/10/2015;амак. атл пеияаиыс;99;27/10/2015;201510270997709055;120,00;в
373;27/10/2015;енода амак.пеияаиыс;99;27/10/2015;201510270997709055;1,50;в
374;22/10/2015;амакгьг апо атл;995;22/10/2015;201510229952770005;40,00;в
375;21/10/2015;SгеLL еRлиS 233;99;19/10/2015;201510210994905929;60,01;в
376;21/10/2015;емт.151021949011н184;99;20/10/2015;201510210999513458;1.187,74;п
377;19/10/2015;бGS FаSгиом лC аRтгU;99;17/10/2015;201510190994894465;35,00;в
378;19/10/2015;амак. атл пеияаиыс;99;17/10/2015;201510190997707545;40,00;в
379;19/10/2015;енода амак.пеияаиыс;99;17/10/2015;201510190997707545;1,50;в
380;19/10/2015;амак. атл ехмийг;99;19/10/2015;201510190997723707;40,00;в
381;19/10/2015;енода амак.ехмийг;99;19/10/2015;201510190997723707;1,50;в
382;15/10/2015;бRитиSг а   12585317;99;12/10/2015;201510150994811881;164,30;в
383;14/10/2015;JUлбо м FиLаDеLFиа;99;10/10/2015;201510140994841912;29,71;в
384;14/10/2015;еаSуJет     еяR16FL;99;12/10/2015;201510140994870333;112,56;в
385;14/10/2015;амакгьг апо атл;995;14/10/2015;201510149956480019;80,00;в
386;12/10/2015;CаRRеFоUR лаRимояоUL;99;9/10/2015;201510120994878701;19,99;в
387;09/10/2015;CаRRеFоUR лаRимояоUL;99;7/10/2015;201510090994858109;30,38;в
388;08/10/2015;CоляUяRеSS ае;99;5/10/2015;201510080994828157;28,97;в
389;08/10/2015;амакгьг апо атл;995;8/10/2015;201510089952770003;100,00;в
390;05/10/2015;яет Cиту;99;30/9/2015;201510050994817268;35,68;в
391;05/10/2015;бя GRиVаS иоаммиS;99;1/10/2015;201510050994862606;67,00;в
392;05/10/2015;амакгьг апо атл;269;5/10/2015;201510052690310657;120,00;в
393;02/10/2015;VUе теSтимG;99;30/9/2015;201510020994831655;98,40;в
394;02/10/2015;амак. атл пеияаиыс;99;2/10/2015;201510020997708655;40,00;в
395;02/10/2015;енода амак.пеияаиыс;99;2/10/2015;201510020997708655;1,50;в
396;30/09/2015;емоийио;96;30/9/2015;201509300960188909;330,00;в
397;30/09/2015;пистытийои тойои;99;30/9/2015;201509300992707718;5,06;п
398;30/09/2015;жояос пистыт. тойым;99;30/9/2015;201509300992707718;0,76;в
399;30/09/2015;Cута64632800277701;99;30/9/2015;201509300999822804;17,10;в
400;30/09/2015;амакгьг апо атл;995;30/9/2015;201509309952770089;40,00;в
401;29/09/2015;FRиDауS йиFиSSиа ае;99;27/9/2015;201509290994871242;35,30;в
402;29/09/2015;амак. атл ехмийг;99;29/9/2015;201509290997712301;40,00;в
403;29/09/2015;енода амак.ехмийг;99;29/9/2015;201509290997712301;1,50;в
404;25/09/2015;амакгьг апо атл;995;25/9/2015;201509259952770053;80,00;в
405;21/09/2015;амакгьг апо атл;995;21/9/2015;201509219956480013;50,00;в
406;18/09/2015;амак. атл ехмийг;99;18/9/2015;201509180997706733;40,00;в
407;18/09/2015;енода амак.ехмийг;99;18/9/2015;201509180997706733;1,50;в
408;18/09/2015;емт.150918949211н159;99;18/9/2015;201509180999517817;1.399,71;п
409;15/09/2015;амакгьг апо атл;995;15/9/2015;201509159956480013;40,00;в
410;14/09/2015;SгеLL;99;10/9/2015;201509140994865335;63,01;в
411;14/09/2015;CаRRеFоUR лаRимояоUL;99;11/9/2015;201509140994875415;29,01;в
412;14/09/2015;яLауSтатиомметWоRй;99;12/9/2015;201509140994887186;17,99;в
413;14/09/2015;амакгьг апо атл;995;14/9/2015;201509149952770153;40,00;в
414;10/09/2015;яLауSтатиомметWоRй;99;8/9/2015;201509100994831637;8,96;в
415;08/09/2015;амакгьг апо атл;995;8/9/2015;201509089956480016;100,00;в
416;07/09/2015;CаRRеFоUR лаRимояоUL;99;5/9/2015;201509070994911322;41,40;в
417;04/09/2015;амакгьг апо атл;473;4/9/2015;201509044730310166;120,00;в
418;02/09/2015;емоийио;96;2/9/2015;201509020960143263;330,00;в
419;02/09/2015;CаRRеFоUR лаRимояоUL;99;31/8/2015;201509020994885168;26,06;в
420;31/08/2015;йаSSоиL ее;99;26/8/2015;201508310994824990;61,00;в
421;31/08/2015;амакгьг апо атл;995;29/8/2015;201508319951220205;50,00;в
422;31/08/2015;амакгьг апо атл;995;31/8/2015;201508319952770136;120,00;в
423;28/08/2015;CаRRеFоUR лаRимояоUL;99;26/8/2015;201508280994839355;28,67;в
424;28/08/2015;амакгьг апо атл;995;28/8/2015;201508289956480028;40,00;в
425;25/08/2015;аUтолото ийтео ае;99;20/8/2015;201508250994814558;45,00;в
426;25/08/2015;амак. атл пеияаиыс;99;25/8/2015;201508250997700032;40,00;в
427;25/08/2015;енода амак.пеияаиыс;99;25/8/2015;201508250997700032;1,50;в
428;24/08/2015;йаSSоиL ее;99;21/8/2015;201508240994869451;43,00;в
429;21/08/2015;Dег713586879049;99;21/8/2015;201508210999819243;94,10;в
430;21/08/2015;енода емтокгс;99;21/8/2015;201508210999819243;0,10;в
431;20/08/2015;емт.150820949017н214;99;20/8/2015;201508200999513273;1.187,74;п
432;20/08/2015;еуDа1500063429240077;99;20/8/2015;201508200999819417;10,00;в
433;18/08/2015;амакгьг апо атл;995;18/8/2015;201508189952770030;80,00;в
434;14/08/2015;SгеLL;99;11/8/2015;201508140994827829;60,02;в
435;14/08/2015;амак. атл ехмийг;99;14/8/2015;201508140997704054;40,00;в
436;14/08/2015;енода амак.ехмийг;99;14/8/2015;201508140997704054;1,50;в
437;10/08/2015;амак. атл пеияаиыс;99;10/8/2015;201508100997716671;40,00;в
438;10/08/2015;енода амак.пеияаиыс;99;10/8/2015;201508100997716671;1,50;в
439;07/08/2015;амак. атл пеияаиыс;99;7/8/2015;201508070997713394;120,00;в
440;07/08/2015;енода амак.пеияаиыс;99;7/8/2015;201508070997713394;1,50;в
441;31/07/2015;емоийио;96;31/7/2015;201507310960198525;330,00;в
442;27/07/2015;амакгьг апо атл;995;27/7/2015;201507279952770161;50,00;в
443;24/07/2015;диажояес пкгяылес;96;24/7/2015;20150724096015н097;172,50;в
444;24/07/2015;диажояес пкгяылес;96;24/7/2015;20150724096015н097;0,30;в
445;24/07/2015;Cута67950700177704;99;24/7/2015;201507240999825168;17,00;в
446;24/07/2015;амакгьг апо атл;995;24/7/2015;201507249952770141;50,00;в
447;22/07/2015;мийе RетаиL еLLаS ея;99;18/7/2015;201507220994860701;47,00;в
448;22/07/2015;амакгьг апо атл;995;22/7/2015;201507229952770093;50,00;в
449;21/07/2015;амакгьг апо атл;473;21/7/2015;201507214730310204;50,00;в
450;20/07/2015;SгеLL;99;15/7/2015;201507200994824168;74,56;в
451;20/07/2015;емт.150720949017н081;99;20/7/2015;201507200999516618;1.187,74;п
452;20/07/2015;амакгьг апо атл;289;20/7/2015;201507202890210764;50,00;в
453;20/07/2015;амакгьг апо атл;291;18/7/2015;201507202910310028;50,00;в
454;16/07/2015;амакгьг апо атл;503;16/7/2015;201507165030210559;50,00;в
455;15/07/2015;мийе RетаиL еLLаS ея;99;11/7/2015;201507150994864863;25,00;в
456;13/07/2015;Vето аебе;99;11/7/2015;201507130994938246;19,98;в
457;13/07/2015;амак. атл пеияаиыс;99;13/7/2015;201507130997706286;60,00;в
458;13/07/2015;енода амак.пеияаиыс;99;13/7/2015;201507130997706286;1,50;в
459;13/07/2015;амакгьг апо атл;995;11/7/2015;201507139951710170;50,00;в
460;07/07/2015;амак. атл ехмийг;99;7/7/2015;201507070997740044;50,00;в
461;07/07/2015;енода амак.ехмийг;99;7/7/2015;201507070997740044;1,50;в
462;06/07/2015;амакгьг апо атл;269;5/7/2015;201507062690311965;50,00;в
463;03/07/2015;аWб 269002002001086;96;3/7/2015;201507030960122754;303,50;в
464;02/07/2015;амакгьг апо атл;289;2/7/2015;201507022890210747;50,00;в
465;01/07/2015;SгеLL еRлиS 233;99;29/6/2015;201507010994863551;61,04;в
466;01/07/2015;амакгьг апо атл;995;1/7/2015;201507019952770250;50,00;в
467;30/06/2015;пистытийои тойои;99;30/6/2015;201506300992714532;4,70;п
468;30/06/2015;жояос пистыт. тойым;99;30/6/2015;201506300992714532;0,71;в
469;29/06/2015;емоийио;96;29/6/2015;201506290960133188;330,00;в
470;29/06/2015;яUбLиC WоRLD;99;25/6/2015;201506290994824820;479,63;в
471;29/06/2015;амак. атл ехмийг;99;29/6/2015;201506290997710730;40,00;в
472;29/06/2015;енода амак.ехмийг;99;29/6/2015;201506290997710730;1,50;в
473;25/06/2015;амакгьг апо атл;995;25/6/2015;201506259952590145;50,00;в
474;22/06/2015;Cута67950700177704;99;22/6/2015;201506220999810893;17,00;в
475;19/06/2015;емт.150619949019н121;99;19/6/2015;201506190999514918;1.094,99;п
476;19/06/2015;амакгьг апо атл;269;19/6/2015;201506192690310280;120,00;в
477;15/06/2015;амакгьг апо атл;995;13/6/2015;201506159952770074;180,00;в
478;12/06/2015;емт.150612949023н324;99;12/6/2015;201506120999514705;487,88;п
479;10/06/2015;аттийо моSойолеио фо;99;6/6/2015;201506100994820166;38,25;в
480;10/06/2015;ийеа;99;8/6/2015;201506100994835386;88,98;в
481;08/06/2015;летажояа коц/лоу;99;8/6/2015;201506080990123285;2.213,39;в
482;08/06/2015;летажояа коц/лоу;99;8/6/2015;201506080990123285;2.213,39;п
483;08/06/2015;амакгьг апо атл;269;6/6/2015;201506082690310003;40,00;в
484;08/06/2015;амакгьг апо атл;995;8/6/2015;201506089955890139;40,00;в
485;03/06/2015;амакгьг апо атл;995;3/6/2015;201506039952770065;50,00;в
486;02/06/2015;амакгьг апо атл;269;31/5/2015;201506022690310239;40,00;в
487;29/05/2015;жоятисг яRеяаиD лC;96;29/5/2015;20150529096014н437;20,00;в
488;29/05/2015;CаRRеFоUR лаRимояоUL;99;27/5/2015;201505290994828514;82,90;в
489;29/05/2015;еуDа1500035312331972;99;29/5/2015;201505290999826356;10,00;в
490;27/05/2015;амакгьг апо атл;995;27/5/2015;201505279952770054;50,00;в
491;26/05/2015;аб VаSиLояоULоS-йиFи;99;23/5/2015;201505260994826812;41,13;в
492;25/05/2015;ийеа;99;23/5/2015;201505250994855653;244,47;в
493;25/05/2015;амакгьг апо атл;322;24/5/2015;201505253220330191;200,00;в
494;22/05/2015;амакгьг апо атл;558;22/5/2015;201505225580220002;40,00;в
495;20/05/2015;емт.150520949015н989;99;20/5/2015;201505200999514026;1.132,70;п
496;19/05/2015;амакгьг апо атл;322;19/5/2015;201505193220330163;40,00;в
497;18/05/2015;амакгьг апо атл;558;16/5/2015;201505185580220212;120,00;в
498;15/05/2015;амакгьг апо атл;322;15/5/2015;201505153220330025;180,00;в
499;11/05/2015;амакгьг апо атл;322;9/5/2015;201505113220330032;40,00;в
500;11/05/2015;амакгьг апо атл;995;9/5/2015;201505119951830010;80,00;в
501;08/05/2015;амакгьг апо атл;995;8/5/2015;201505089956480008;40,00;в
502;07/05/2015;VиLLаGе RоаDSгоW;99;4/5/2015;201505070994818369;35,00;в
503;07/05/2015;амакгьг апо атл;322;6/5/2015;201505073220330001;660,00;в
504;05/05/2015;яUбLиC WоRLD;99;2/5/2015;201505050994826999;22,99;в
505;05/05/2015;яUбLиC фоGRаFоU;99;3/5/2015;201505050994846248;169,98;в
506;05/05/2015;амакгьг апо атл;558;5/5/2015;201505055580220234;40,00;в
507;04/05/2015;амакгьг апо атл;119;3/5/2015;201505041190410492;40,00;в
           ;;;;;;;
